date,regionid,avg_wind_speed_km_per_h,max_wind_speed_km_per_h
2009-01-29,NSW1,13.3,42.5
2009-01-29,QLD1,22.3,48.2
2009-01-29,SA1,20.5,53.6
2009-01-29,TAS1,10.4,31.3
2009-01-29,VIC1,11.9,44.3
2009-01-30,NSW1,15.1,37.1
2009-01-30,QLD1,22.7,53.6
2009-01-30,SA1,19.1,51.8
2009-01-30,TAS1,14.0,48.2
2009-01-30,VIC1,11.5,38.9
2009-01-31,NSW1,14.4,38.9
2009-01-31,QLD1,20.9,53.6
2009-01-31,SA1,19.4,51.8
2009-01-31,TAS1,14.8,38.9
2009-01-31,VIC1,21.6,55.4
2009-02-01,NSW1,17.6,53.6
2009-02-01,QLD1,19.4,44.3
2009-02-01,SA1,13.0,37.1
2009-02-01,TAS1,15.1,33.5
2009-02-01,VIC1,18.0,46.4
2009-02-02,NSW1,15.8,46.4
2009-02-02,QLD1,21.6,44.3
2009-02-02,SA1,15.5,46.4
2009-02-02,TAS1,13.0,50.0
2009-02-02,VIC1,14.8,42.5
2009-02-03,NSW1,17.3,55.4
2009-02-03,QLD1,22.0,46.4
2009-02-03,SA1,13.0,59.4
2009-02-03,TAS1,13.7,29.5
2009-02-03,VIC1,20.2,37.1
2009-02-04,NSW1,18.0,35.3
2009-02-04,QLD1,15.8,37.1
2009-02-04,SA1,18.4,51.8
2009-02-04,TAS1,14.8,31.3
2009-02-04,VIC1,11.5,31.3
2009-02-05,NSW1,10.8,37.1
2009-02-05,QLD1,17.3,66.6
2009-02-05,SA1,23.0,46.4
2009-02-05,TAS1,18.7,53.6
2009-02-05,VIC1,15.5,44.3
2009-02-06,NSW1,13.0,38.9
2009-02-06,QLD1,21.6,50.0
2009-02-06,SA1,24.5,63.0
2009-02-06,TAS1,14.0,35.3
2009-02-06,VIC1,11.5,40.7
2009-02-07,NSW1,15.5,40.7
2009-02-07,QLD1,27.7,53.6
2009-02-07,SA1,22.7,55.4
2009-02-07,TAS1,14.8,42.5
2009-02-07,VIC1,19.4,72.4
2009-02-08,NSW1,12.2,37.1
2009-02-08,QLD1,24.1,59.4
2009-02-08,SA1,37.4,61.2
2009-02-08,TAS1,19.8,70.2
2009-02-08,VIC1,17.3,44.3
2009-02-09,NSW1,18.4,38.9
2009-02-09,QLD1,20.5,42.5
2009-02-09,SA1,37.1,61.2
2009-02-09,TAS1,13.3,46.4
2009-02-09,VIC1,26.3,50.0
2009-02-10,NSW1,17.6,50.0
2009-02-10,QLD1,12.6,59.4
2009-02-10,SA1,35.3,57.2
2009-02-10,TAS1,13.7,51.8
2009-02-10,VIC1,21.2,53.6
2009-02-11,NSW1,16.9,37.1
2009-02-11,QLD1,8.6,
2009-02-11,SA1,27.7,51.8
2009-02-11,TAS1,16.6,48.2
2009-02-11,VIC1,27.4,59.4
2009-02-12,NSW1,28.8,61.2
2009-02-12,QLD1,14.0,40.7
2009-02-12,SA1,20.2,38.9
2009-02-12,TAS1,22.0,44.3
2009-02-12,VIC1,27.7,
2009-02-13,NSW1,30.6,59.4
2009-02-13,QLD1,14.0,31.3
2009-02-13,SA1,17.3,48.2
2009-02-13,TAS1,13.3,29.5
2009-02-13,VIC1,15.8,33.5
2009-02-14,NSW1,21.2,55.4
2009-02-14,QLD1,13.0,35.3
2009-02-14,SA1,19.8,55.4
2009-02-14,TAS1,14.0,37.1
2009-02-14,VIC1,10.8,35.3
2009-02-15,NSW1,20.9,53.6
2009-02-15,QLD1,10.8,35.3
2009-02-15,SA1,14.8,35.3
2009-02-15,TAS1,16.2,40.7
2009-02-15,VIC1,16.2,44.3
2009-02-16,NSW1,28.4,64.8
2009-02-16,QLD1,11.2,29.5
2009-02-16,SA1,14.8,37.1
2009-02-16,TAS1,9.7,50.0
2009-02-16,VIC1,10.4,37.1
2009-02-17,NSW1,23.0,48.2
2009-02-17,QLD1,10.4,29.5
2009-02-17,SA1,17.3,38.9
2009-02-17,TAS1,12.2,29.5
2009-02-17,VIC1,10.4,35.3
2009-02-18,NSW1,14.0,
2009-02-18,QLD1,10.1,20.5
2009-02-18,SA1,17.3,42.5
2009-02-18,TAS1,11.5,33.5
2009-02-18,VIC1,8.3,
2009-02-19,NSW1,11.5,31.3
2009-02-19,QLD1,10.1,33.5
2009-02-19,SA1,24.1,55.4
2009-02-19,TAS1,11.9,29.5
2009-02-19,VIC1,11.5,51.8
2009-02-20,NSW1,9.4,27.7
2009-02-20,QLD1,7.9,24.1
2009-02-20,SA1,22.0,44.3
2009-02-20,TAS1,12.2,35.3
2009-02-20,VIC1,17.3,51.8
2009-02-21,NSW1,16.9,44.3
2009-02-21,QLD1,13.7,55.4
2009-02-21,SA1,22.0,38.9
2009-02-21,TAS1,16.2,53.6
2009-02-21,VIC1,24.5,53.6
2009-02-22,NSW1,19.4,44.3
2009-02-22,QLD1,18.4,63.0
2009-02-22,SA1,13.3,31.3
2009-02-22,TAS1,14.0,37.1
2009-02-22,VIC1,13.3,42.5
2009-02-23,NSW1,17.6,59.4
2009-02-23,QLD1,21.2,37.1
2009-02-23,SA1,16.6,46.4
2009-02-23,TAS1,21.2,100.1
2009-02-23,VIC1,16.6,55.4
2009-02-24,NSW1,13.7,35.3
2009-02-24,QLD1,17.6,38.9
2009-02-24,SA1,22.3,42.5
2009-02-24,TAS1,26.6,74.2
2009-02-24,VIC1,19.4,42.5
2009-02-25,NSW1,8.6,40.7
2009-02-25,QLD1,14.4,35.3
2009-02-25,SA1,21.2,44.3
2009-02-25,TAS1,20.5,51.8
2009-02-25,VIC1,17.6,44.3
2009-02-26,NSW1,19.4,50.0
2009-02-26,QLD1,12.6,33.5
2009-02-26,SA1,20.2,57.2
2009-02-26,TAS1,10.8,25.9
2009-02-26,VIC1,11.5,33.5
2009-02-27,NSW1,14.8,38.9
2009-02-27,QLD1,12.6,33.5
2009-02-27,SA1,19.1,57.2
2009-02-27,TAS1,17.3,44.3
2009-02-27,VIC1,12.2,35.3
2009-02-28,NSW1,16.6,42.5
2009-02-28,QLD1,13.0,25.9
2009-02-28,SA1,25.9,53.6
2009-02-28,TAS1,12.6,35.3
2009-02-28,VIC1,18.0,48.2
2009-03-01,NSW1,10.8,33.5
2009-03-01,QLD1,10.4,29.5
2009-03-01,SA1,28.1,70.2
2009-03-01,TAS1,11.5,37.1
2009-03-01,VIC1,18.0,42.5
2009-03-02,NSW1,14.8,40.7
2009-03-02,QLD1,10.4,27.7
2009-03-02,SA1,33.1,76.0
2009-03-02,TAS1,13.3,37.1
2009-03-02,VIC1,8.6,31.3
2009-03-03,NSW1,16.9,42.5
2009-03-03,QLD1,11.5,29.5
2009-03-03,SA1,31.3,57.2
2009-03-03,TAS1,28.1,79.6
2009-03-03,VIC1,23.8,68.4
2009-03-04,NSW1,20.5,51.8
2009-03-04,QLD1,15.8,59.4
2009-03-04,SA1,25.9,55.4
2009-03-04,TAS1,29.5,88.9
2009-03-04,VIC1,23.8,59.4
2009-03-05,NSW1,21.2,48.2
2009-03-05,QLD1,19.8,48.2
2009-03-05,SA1,19.8,44.3
2009-03-05,TAS1,22.0,61.2
2009-03-05,VIC1,20.9,51.8
2009-03-06,NSW1,12.6,33.5
2009-03-06,QLD1,13.7,38.9
2009-03-06,SA1,16.6,35.3
2009-03-06,TAS1,14.8,51.8
2009-03-06,VIC1,13.7,35.3
2009-03-07,NSW1,9.7,33.5
2009-03-07,QLD1,10.1,31.3
2009-03-07,SA1,18.0,68.4
2009-03-07,TAS1,15.5,50.0
2009-03-07,VIC1,13.7,35.3
2009-03-08,NSW1,21.6,50.0
2009-03-08,QLD1,15.1,38.9
2009-03-08,SA1,16.6,44.3
2009-03-08,TAS1,16.2,40.7
2009-03-08,VIC1,16.2,35.3
2009-03-09,NSW1,25.9,50.0
2009-03-09,QLD1,11.5,29.5
2009-03-09,SA1,20.5,48.2
2009-03-09,TAS1,9.7,33.5
2009-03-09,VIC1,13.3,31.3
2009-03-10,NSW1,25.9,50.0
2009-03-10,QLD1,14.4,96.1
2009-03-10,SA1,17.3,37.1
2009-03-10,TAS1,11.2,31.3
2009-03-10,VIC1,14.8,53.6
2009-03-11,NSW1,28.1,50.0
2009-03-11,QLD1,13.0,72.4
2009-03-11,SA1,20.2,96.1
2009-03-11,TAS1,10.1,27.7
2009-03-11,VIC1,12.2,46.4
2009-03-12,NSW1,18.0,40.7
2009-03-12,QLD1,15.8,38.9
2009-03-12,SA1,14.0,31.3
2009-03-12,TAS1,11.2,31.3
2009-03-12,VIC1,10.1,33.5
2009-03-13,NSW1,14.0,38.9
2009-03-13,QLD1,11.9,29.5
2009-03-13,SA1,13.0,25.9
2009-03-13,TAS1,10.1,29.5
2009-03-13,VIC1,8.3,27.7
2009-03-14,NSW1,14.8,46.4
2009-03-14,QLD1,10.8,37.1
2009-03-14,SA1,30.6,55.4
2009-03-14,TAS1,10.8,66.6
2009-03-14,VIC1,11.5,57.2
2009-03-15,NSW1,15.5,40.7
2009-03-15,QLD1,10.8,61.2
2009-03-15,SA1,22.7,50.0
2009-03-15,TAS1,18.0,48.2
2009-03-15,VIC1,15.5,46.4
2009-03-16,NSW1,14.8,42.5
2009-03-16,QLD1,14.0,33.5
2009-03-16,SA1,17.6,
2009-03-16,TAS1,12.6,55.4
2009-03-16,VIC1,11.9,31.3
2009-03-17,NSW1,13.0,35.3
2009-03-17,QLD1,14.8,42.5
2009-03-17,SA1,14.8,
2009-03-17,TAS1,17.3,50.0
2009-03-17,VIC1,13.3,27.7
2009-03-18,NSW1,17.3,40.7
2009-03-18,QLD1,19.1,68.4
2009-03-18,SA1,18.4,37.1
2009-03-18,TAS1,11.9,37.1
2009-03-18,VIC1,8.3,31.3
2009-03-19,NSW1,14.8,42.5
2009-03-19,QLD1,14.8,38.9
2009-03-19,SA1,15.5,
2009-03-19,TAS1,17.6,46.4
2009-03-19,VIC1,6.8,35.3
2009-03-20,NSW1,14.8,50.0
2009-03-20,QLD1,10.8,35.3
2009-03-20,SA1,15.5,37.1
2009-03-20,TAS1,9.4,27.7
2009-03-20,VIC1,11.5,44.3
2009-03-21,NSW1,15.8,31.3
2009-03-21,QLD1,14.0,29.5
2009-03-21,SA1,32.8,59.4
2009-03-21,TAS1,12.6,31.3
2009-03-21,VIC1,14.0,50.0
2009-03-22,NSW1,13.7,33.5
2009-03-22,QLD1,12.6,38.9
2009-03-22,SA1,25.6,59.4
2009-03-22,TAS1,13.3,33.5
2009-03-22,VIC1,12.2,35.3
2009-03-23,NSW1,13.0,35.3
2009-03-23,QLD1,14.8,35.3
2009-03-23,SA1,19.1,40.7
2009-03-23,TAS1,12.6,27.7
2009-03-23,VIC1,12.2,31.3
2009-03-24,NSW1,12.6,35.3
2009-03-24,QLD1,14.8,55.4
2009-03-24,SA1,20.9,61.2
2009-03-24,TAS1,10.4,24.1
2009-03-24,VIC1,12.2,29.5
2009-03-25,NSW1,19.1,44.3
2009-03-25,QLD1,17.6,46.4
2009-03-25,SA1,22.0,40.7
2009-03-25,TAS1,9.4,24.1
2009-03-25,VIC1,13.3,42.5
2009-03-26,NSW1,16.2,42.5
2009-03-26,QLD1,16.6,40.7
2009-03-26,SA1,29.5,46.4
2009-03-26,TAS1,22.0,81.4
2009-03-26,VIC1,11.9,40.7
2009-03-27,NSW1,16.6,44.3
2009-03-27,QLD1,13.3,37.1
2009-03-27,SA1,21.2,37.1
2009-03-27,TAS1,16.6,53.6
2009-03-27,VIC1,14.8,31.3
2009-03-28,NSW1,18.0,40.7
2009-03-28,QLD1,12.6,64.8
2009-03-28,SA1,17.6,44.3
2009-03-28,TAS1,27.7,63.0
2009-03-28,VIC1,3.6,31.3
2009-03-29,NSW1,15.1,33.5
2009-03-29,QLD1,14.0,46.4
2009-03-29,SA1,15.5,35.3
2009-03-29,TAS1,20.9,55.4
2009-03-29,VIC1,10.1,38.9
2009-03-30,NSW1,20.9,46.4
2009-03-30,QLD1,12.6,
2009-03-30,SA1,17.3,38.9
2009-03-30,TAS1,10.1,29.5
2009-03-30,VIC1,18.4,37.1
2009-03-31,NSW1,24.8,57.2
2009-03-31,QLD1,8.3,
2009-03-31,SA1,18.7,33.5
2009-03-31,TAS1,9.0,29.5
2009-03-31,VIC1,10.1,31.3
2009-04-01,NSW1,24.8,55.4
2009-04-01,QLD1,13.3,
2009-04-01,SA1,18.0,38.9
2009-04-01,TAS1,16.6,38.9
2009-04-01,VIC1,6.8,
2009-04-02,NSW1,27.4,55.4
2009-04-02,QLD1,11.5,33.5
2009-04-02,SA1,15.5,51.8
2009-04-02,TAS1,18.4,44.3
2009-04-02,VIC1,9.4,38.9
2009-04-03,NSW1,14.8,42.5
